PO,BAT,AA,RK
88.0|12.0,54.0|46.0,56.0|44.0,51.0|49.0
89.0|11.0,54.0|46.0,55.0|45.0,51.0|49.0
89.0|11.0,54.0|46.0,56.0|44.0,51.0|49.0
89.0|11.0,54.0|46.0,57.0|43.0,52.0|48.0
82.0|18.0,54.0|46.0,66.0|34.0,51.0|49.0
79.0|21.0,56.0|44.0,60.0|40.0,64.0|36.0
75.0|25.0,57.0|43.0,63.63636363636363|36.36363636363637,61.0|39.0
73.73737373737374|26.262626262626263,57.0|43.0,56.0|44.0,63.0|37.0
77.0|23.0,57.0|43.0,46.93877551020408|53.06122448979592,63.0|37.0
78.0|22.0,57.0|43.0,43.43434343434343|56.56565656565657,63.0|37.0
76.76767676767676|23.232323232323232,56.0|44.0,55.0|45.0,64.0|36.0
76.76767676767676|23.232323232323232,62.0|38.0,58.0|42.0,70.0|30.0
70.0|30.0,62.0|38.0,50.0|50.0,72.0|28.0
73.0|27.0,65.0|35.0,65.0|35.0,53.0|47.0
80.0|20.0,60.0|40.0,47.0|53.0,70.70707070707071|29.292929292929294
75.0|25.0,60.0|40.0,52.525252525252526|47.474747474747474,70.70707070707071|29.292929292929294
82.0|18.0,58.0|42.0,50.0|50.0,68.68686868686869|31.31313131313131
75.0|25.0,60.0|40.0,60.0|40.0,70.0|30.0
79.0|21.0,62.0|38.0,71.0|29.0,66.0|34.0
75.75757575757575|24.242424242424242,60.0|40.0,59.0|41.0,80.0|20.0
81.0|19.0,55.0|45.0,56.0|44.0,66.0|34.0
81.0|19.0,56.0|44.0,63.0|37.0,71.0|29.0
74.0|26.0,55.0|45.0,65.0|35.0,67.0|33.0
78.0|22.0,57.0|43.0,67.0|33.0,65.0|35.0
72.0|28.0,49.0|51.0,58.58585858585859|41.41414141414141,57.0|43.0
74.0|26.0,47.0|53.0,50.0|50.0,75.0|25.0
79.0|21.0,47.0|53.0,64.0|36.0,65.0|35.0
84.0|16.0,48.0|52.0,63.0|37.0,67.0|33.0
77.0|23.0,49.0|51.0,64.0|36.0,59.0|41.0
81.0|19.0,48.0|52.0,58.0|42.0,60.60606060606061|39.39393939393939
79.0|21.0,46.0|54.0,56.0|44.0,61.0|39.0
86.0|14.0,54.0|46.0,53.535353535353536|46.464646464646464,62.0|38.0
75.0|25.0,51.0|49.0,60.0|40.0,63.0|37.0
86.0|14.0,53.0|47.0,56.0|44.0,67.0|33.0
76.0|24.0,54.0|46.0,64.0|36.0,68.0|32.0
89.0|11.0,54.0|46.0,58.0|42.0,70.0|30.0
89.0|11.0,55.0|45.0,57.0|43.0,72.0|28.0
76.0|24.0,57.0|43.0,68.0|32.0,69.0|31.0
82.0|18.0,55.0|45.0,63.0|37.0,73.73737373737374|26.262626262626263
77.0|23.0,53.0|47.0,66.0|34.0,75.75757575757575|24.242424242424242
80.0|20.0,53.0|47.0,58.0|42.0,76.76767676767676|23.232323232323232
73.73737373737374|26.262626262626263,51.0|49.0,55.0|45.0,81.0|19.0
82.0|18.0,55.0|45.0,62.62626262626262|37.37373737373738,58.0|42.0
85.0|15.0,64.0|36.0,61.0|39.0,68.0|32.0
89.0|11.0,67.0|33.0,68.0|32.0,72.0|28.0
86.0|14.0,66.0|34.0,58.0|42.0,75.75757575757575|24.242424242424242
89.0|11.0,62.0|38.0,69.0|31.0,75.75757575757575|24.242424242424242
84.0|16.0,63.0|37.0,49.0|51.0,75.75757575757575|24.242424242424242
88.0|12.0,58.0|42.0,50.0|50.0,67.0|33.0
86.0|14.0,54.0|46.0,61.0|39.0,73.0|27.0
91.0|9.0,50.0|50.0,69.0|31.0,72.0|28.0
80.0|20.0,56.0|44.0,62.0|38.0,73.46938775510205|26.53061224489796
81.0|19.0,55.0|45.0,66.0|34.0,74.74747474747475|25.252525252525253
83.0|17.0,50.0|50.0,54.0|46.0,62.0|38.0
81.81818181818181|18.181818181818183,51.0|49.0,66.0|34.0,81.0|19.0
72.0|28.0,53.535353535353536|46.464646464646464,64.0|36.0,78.0|22.0
76.0|24.0,53.535353535353536|46.464646464646464,56.0|44.0,67.0|33.0
78.0|22.0,51.515151515151516|48.484848484848484,62.62626262626262|37.37373737373738,72.0|28.0
88.0|12.0,64.0|36.0,62.0|38.0,74.0|26.0
77.0|23.0,54.0|46.0,58.0|42.0,73.0|27.0
79.0|21.0,58.0|42.0,63.0|37.0,67.0|33.0
79.0|21.0,58.0|42.0,63.0|37.0,76.0|24.0
72.0|28.0,53.0|47.0,65.0|35.0,82.82828282828282|17.171717171717173
80.0|20.0,52.0|48.0,63.0|37.0,79.0|21.0
80.0|20.0,49.0|51.0,64.0|36.0,71.0|29.0
79.79797979797979|20.2020202020202,50.0|50.0,55.0|45.0,59.0|41.0
82.0|18.0,52.0|48.0,55.0|45.0,66.0|34.0
